method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,1000,3359.9073388576508,-0.00973338103304644,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0009249074718333805,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8205470236258046,1.0,0.0,0.0,1.0,0.0,0.0009233967496717899,0.0,0.0,0.0,0.007891674159297146,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.015628269468851874,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
CPI,1000,60.43032455444336,-0.00973338103304644,1.0,0.8751580475245607,0.0,0.07387933675224062,0.0,0.19206479902267948,0.0,0.7516892614355115,0.0,0.9438921975747819,1.0,0.9450200118011706,0.0,0.571979214752438,0.0,0.17171786469142047,1.0,0.7169766404532896,0.0,0.5064163205018678,0.0,0.4509997717763575,1.0,0.5961831229462623,0.0,0.059528058568038396,1.0,0.12803715459417364,0.0,0.22389477846629008,0.0,0.19349698982605223,0.0,0.9480419613923737,0.0,0.7481524402862791,0.0,0.021770516029785934,0.0,0.6716482333222439,0.0,0.8500530129324413,0.0,0.13771158564284658,0.0,0.7917886607948231,0.0,0.03978180154522669,0.0,0.183314385609104,0.0,0.6470690568906152,0.0,0.8932165709861477,0.0,0.3377940833899705,1.0,0.40508101644896494,0.0,0.5879133037343192,0.0,0.6768014554609674,0.0,0.7958840931955224,0.0,0.2168339713097261,0.0,0.19802866347161097,0.0,0.4720428253269898,0.0,0.8718627459044941,0.0,0.9584258975926002,1.0,0.3708938457271455,0.0,0.5223218911762008,0.0,0.6480867849723004,0.0,0.9968386591124364,1.0,0.7129022346057117,1.0,0.7284998859797481,0.0,0.04365694205252516,1.0,0.7409400298455722,1.0,0.3125535212784417,0.0,0.8197974287514065,0.0,0.19526052118734877,1.0,0.7121488711758943,0.0,0.15229541186559414
CPI_sqrt,1000,60.4185676574707,-0.00973338103304644,1.0,0.5029688409704027,0.0,0.49977603815483257,0.0,0.4979086397939182,0.0,0.506480339671502,0.0,0.5044784645445479,1.0,0.5013252097351681,0.0,0.49777966040323146,0.0,0.50699740140086,1.0,0.5067271453148057,0.0,0.49821013893804345,0.0,0.5063016481812564,1.0,0.5012960254954208,0.0,0.5001828861605224,1.0,0.48927234384696267,0.0,0.5022718936905652,0.0,0.49824689915796594,0.0,0.5015660921370839,0.0,0.5024057712503138,0.0,0.48746994030209895,0.0,0.5045060455632672,0.0,0.50357178636489,0.0,0.5034694382440937,0.0,0.5036489108299759,0.0,0.4975027802884713,0.0,0.49814666179687334,0.0,0.5029797008421416,0.0,0.5012454591945164,0.0,0.4981696641445285,1.0,0.5026242947937,0.0,0.48967094841115466,0.0,0.5132954223050634,0.0,0.5001539627079052,0.0,0.4931816533900228,0.0,0.49193831268163696,0.0,0.4807853123292718,0.0,0.5041133981920807,0.0,0.5059068867118643,1.0,0.488171474038738,0.0,0.5027185710851798,0.0,0.5000656475187961,0.0,0.5056310142321176,1.0,0.47693591336357893,1.0,0.5053892079373323,0.0,0.49399728635105467,1.0,0.5019679060571152,1.0,0.4860904959360113,0.0,0.5059734092032645,0.0,0.4993631220963629,1.0,0.501408383485161,0.0,0.4986769992498367
CPI_n,1000,60.41147589683533,-0.00973338103304644,1.0,0.5827523943043303,0.0,0.46666421941619934,0.0,0.41109491728106107,0.0,0.4881509871656308,0.0,0.5402200135988444,1.0,0.6642100494847698,0.0,0.5379552793426678,0.0,0.542210178091692,1.0,0.650590201888608,0.0,0.5319992773772415,0.0,0.5136683081197889,1.0,0.42255080293182923,0.0,0.4450711440438449,1.0,0.38357366285782535,0.0,0.5928237964626911,0.0,0.4722162743810765,0.0,0.5449132810990854,0.0,0.5391289688013422,0.0,0.29692926068004166,0.0,0.6869232812092558,0.0,0.6006349752292081,0.0,0.5223223204725668,0.0,0.6164475929537119,0.0,0.435505113612344,0.0,0.48863877510387005,0.0,0.5053213055253155,0.0,0.5133411289749744,0.0,0.4905990981790594,1.0,0.505752641764771,0.0,0.31619619904671326,0.0,0.585859457778034,0.0,0.5003084356848331,0.0,0.444723573821877,0.0,0.5024372662955676,0.0,0.5055656962048396,0.0,0.5669402748970402,0.0,0.5538317802364721,1.0,0.41848144090190575,0.0,0.4986218883469921,0.0,0.4994366495097482,0.0,0.5908310274627794,1.0,0.48439006026149095,1.0,0.5680362991114323,0.0,0.26362727814410863,1.0,0.6408116084597599,1.0,0.31405329662466547,0.0,0.5662617436424537,0.0,0.449418305602497,1.0,0.5130508902516128,0.0,0.4718530057672706
CPI_bt,1000,61.54179286956787,-0.00973338103304644,1.0,0.8896215116666916,0.0,0.49666029760138986,0.0,0.466971500864257,0.0,0.7769470714205606,0.0,0.5715960103503349,1.0,0.5198507439643131,0.0,0.43988105159944146,0.0,0.587405363428924,1.0,0.4182142822765325,0.0,0.5398754909800378,0.0,0.5673578056784341,1.0,0.428683545002186,0.0,0.3921035172740598,1.0,0.4184621693056848,0.0,0.5343394730653193,0.0,0.47212777010577006,0.0,0.5469875558112264,0.0,0.5956325468081222,0.0,0.15410325549147075,0.0,0.5472549485639758,0.0,0.6164922907910069,0.0,0.44242388997030124,0.0,0.606797614558866,0.0,0.48548576421108036,0.0,0.5413887825477806,0.0,0.5559298366574902,0.0,0.546986164570677,0.0,0.47746392874853366,1.0,0.4307662414727115,0.0,0.4634580250481874,0.0,0.7996197555449203,0.0,0.5200415204896272,0.0,0.5382372557647416,0.0,0.46196543183605315,0.0,0.2663062355303993,0.0,0.44589640813620796,0.0,0.6028822214438647,1.0,0.5786194010511545,0.0,0.5047794121168023,0.0,0.5019480414646584,0.0,0.5533864555669357,1.0,0.6464619480801294,1.0,0.5740107752993013,0.0,0.07092166754702281,1.0,0.6652720862755531,1.0,0.3928926844174133,0.0,0.6048237147508061,0.0,0.5234303472631499,1.0,0.5614444807911154,0.0,0.42869775981608915
CPI_sqd,1000,61.55803179740906,-0.00973338103304644,1.0,1.0,0.0,2.292193094336392e-38,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,6.700618691229505e-27,0.0,0.0,1.0,0.0,0.0,0.9999999999999699,0.0,4.251016026986785e-05,0.0,1.0,0.0,0.9999999999998463,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.950381924589447e-90,0.0,1.0,0.0,1.443338464849628e-44,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.807320089889755e-168,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,8.55174095687223e-133,0.0,0.6295419812767105,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8.703727859671023e-61,0.0,0.11346866168864816
S-CPI,1000,76.94367504119873,-0.00973338103304644,1.0,0.9034379069491358,0.0,0.20396265335884256,0.0,0.18865378189776694,0.0,0.6792624542171021,0.0,0.8270851220896508,1.0,0.8552409022149692,0.0,0.8162016528451177,0.0,0.9019126639869075,1.0,0.4954015011058383,0.0,0.8066729819605121,0.0,0.6628827710815756,1.0,0.47645909582101825,0.0,0.061565354489899846,1.0,0.005484702316964195,0.0,0.6671902098586514,0.0,0.244347061710452,0.0,0.9689507606251619,0.0,0.7553980163193049,0.0,0.04058367892148286,0.0,0.6671757628393709,0.0,0.9645711114580796,0.0,0.15612278304905808,0.0,0.7881905721217799,0.0,0.04444582910993002,0.0,0.6997480326188098,0.0,0.8611948257614335,0.0,0.7328970208638269,0.0,0.37346989801400327,1.0,0.6811282111587358,0.0,0.07715217077666475,0.0,0.8059401554009444,0.0,0.8892224613647777,0.0,0.47484575826165515,0.0,0.5115955214748124,0.0,0.2125843991947004,0.0,0.7350201880599043,0.0,0.9700772225775323,1.0,0.2239899277612712,0.0,0.6774835530003427,0.0,0.47104017479521115,0.0,0.9984642381964078,1.0,0.18737408752037366,1.0,0.9075355103925665,0.0,0.02113098622499292,1.0,0.8978995190294574,1.0,0.1315347215583581,0.0,0.9698657733363978,0.0,0.3644536564363759,1.0,0.6611332205862805,0.0,0.1634932559594181
S-CPI_sqrt,1000,77.11569166183472,-0.00973338103304644,1.0,0.5223024752922284,0.0,0.4908417752301697,0.0,0.48937877681715675,0.0,0.5244163778286575,0.0,0.5055662425955181,1.0,0.5099762301345042,0.0,0.5141040203665492,0.0,0.5120722905013249,1.0,0.5063360262901648,0.0,0.502781938298878,0.0,0.5026361342750062,1.0,0.4950920675604717,0.0,0.4896872120748927,1.0,0.47964361098847375,0.0,0.5060641026843838,0.0,0.49776262172679914,0.0,0.5062347565068626,0.0,0.5017264855755469,0.0,0.47868670909900596,0.0,0.5317121317579945,0.0,0.5129768438915927,0.0,0.493464445887777,0.0,0.5101309181024348,0.0,0.49590972838019787,0.0,0.5012545916929649,0.0,0.5039794644650261,0.0,0.5014510662266113,0.0,0.5007277103864285,1.0,0.5032267249684541,0.0,0.4838995388057185,0.0,0.5086588580940852,0.0,0.5028672191512829,0.0,0.4960815644725492,0.0,0.4990663290451835,0.0,0.4886130700939148,0.0,0.5106769629310156,0.0,0.5106655161455198,1.0,0.4859265871562279,0.0,0.5038960367191013,0.0,0.5000119336855016,0.0,0.5127960346933458,1.0,0.4990853017212219,1.0,0.5134673268434611,0.0,0.47197468581328667,1.0,0.5111770963826362,1.0,0.4929944695177754,0.0,0.5114039035159647,0.0,0.4994452576190487,1.0,0.5006298791652094,0.0,0.4972376144913657
S-CPI_n,1000,76.99548268318176,-0.00973338103304644,1.0,0.7951064356192583,0.0,0.446783641779031,0.0,0.41953035894269336,0.0,0.7122515425282157,0.0,0.5963720036522058,1.0,0.6588491632187525,0.0,0.6283575932982333,0.0,0.6138623874499015,1.0,0.5790024150104973,0.0,0.5762042330482104,0.0,0.5261264916990063,1.0,0.44771883833344894,0.0,0.3227677448075354,1.0,0.2981322234300341,0.0,0.4845361363668656,0.0,0.458162046134187,0.0,0.5929601308861592,0.0,0.5152360523084442,0.0,0.18134813976332936,0.0,0.6843879097809477,0.0,0.6332163834077679,0.0,0.4900017002515728,0.0,0.6146739530462844,0.0,0.44843719750197086,0.0,0.5221939434504483,0.0,0.5889122511243142,0.0,0.5200774653337903,0.0,0.5196563129861155,1.0,0.5238089602927445,0.0,0.30971571781351165,0.0,0.7075012705837394,0.0,0.5213709154764138,0.0,0.4899294547421009,0.0,0.4611444315455274,0.0,0.3208592833138284,0.0,0.5858903742135018,0.0,0.6658737328370166,1.0,0.4002800839026249,0.0,0.5289118544986049,0.0,0.49935856248421884,0.0,0.7303039066735502,1.0,0.3245543597440045,1.0,0.660857336842843,0.0,0.19951313805612508,1.0,0.6275761529949206,1.0,0.36663321043370445,0.0,0.636606341157126,0.0,0.46480359704795426,1.0,0.48632752306889676,0.0,0.517028822823437
S-CPI_bt,1000,78.14509916305542,-0.00973338103304644,1.0,0.927298109075562,0.0,0.3892716977330969,0.0,0.337688836772352,0.0,0.8729848297276521,0.0,0.6001656691144259,1.0,0.6796083751590313,0.0,0.8894226169813473,0.0,0.6998143663062493,1.0,0.6446194319089565,0.0,0.6094708690627404,0.0,0.5767271141677408,1.0,0.43578044620926026,0.0,0.2126195352943135,1.0,0.14592834914181635,0.0,0.5498238272711462,0.0,0.4738053017505084,0.0,0.5587627190806357,0.0,0.5425070372245219,0.0,0.11058827478599892,0.0,0.7549419770117778,0.0,0.6876433315142408,0.0,0.4055347265993829,0.0,0.6645804247763641,0.0,0.3859357948712143,0.0,0.5159871109138783,0.0,0.6113361927914741,0.0,0.5113514277112973,0.0,0.5811337507647591,1.0,0.5689349634391627,0.0,0.3302023500103376,0.0,0.7305419469437943,0.0,0.5633785110199366,0.0,0.4241457037282944,0.0,0.47071227790317305,0.0,0.2627227999403185,0.0,0.7161637207913683,0.0,0.6620841706879869,1.0,0.35926813343204433,0.0,0.5463680906531178,0.0,0.49946838988072834,0.0,0.7115018362680307,1.0,0.26328770627232123,1.0,0.7030991666598803,0.0,0.111231333600806,1.0,0.6873947211544572,1.0,0.32342989481868023,0.0,0.6713378012207785,0.0,0.46624357023635454,1.0,0.487022920408048,0.0,0.4628655995411958
