method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,881.0207500457764,0.3763896493061085,1.0,1.0,0.0,1.0,0.0,0.783756976841304,0.0,0.9999999996912085,0.0,0.0,0.0,0.0,0.0,2.2871856738548857e-06,0.0,1.0,1.0,0.9980358597410456,1.0,0.9999999999999978,1.0,0.0,0.0,0.9999999208918275,0.0,2.220446049250313e-16,0.0,0.9999999999999724,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9999997452285811,0.0,1.0,1.0,0.9770675701614935,0.0,0.1321157194110686,0.0,1.0,0.0,0.9996962106391802,1.0,0.9984698257123692,0.0,0.9999999999999925,0.0,1.0,0.0,2.1665648186619535e-07,1.0,0.9995781650607354,0.0,1.0,0.0,7.851733774266734e-08,0.0,1.0,1.0,0.9732394195534979,0.0,1.1102230246251565e-16,0.0,0.9933908336727313,0.0,0.9999999999999998,0.0,0.9999999994297191,0.0,1.0,1.0,5.304979455722503e-09,0.0,5.175298969817277e-06,1.0,0.999999999965898,0.0,0.9999996634353294,1.0,0.9999999999999994,1.0,0.8624971770002415,0.0,0.9845269122001719,0.0,1.0,0.0,0.8609301051011997,0.0,0.0,0.0,0.001030188760864692,0.0,0.9998647242703799,0.0,0.0
CPI,300,16.7263400554657,0.3763896493061085,1.0,0.11187542253781202,0.0,0.41243747376747536,0.0,0.6178829679489772,0.0,0.9241592656443592,0.0,0.9788879420384348,0.0,0.8710975407997672,0.0,0.22544227816611528,0.0,0.6116894728481489,1.0,0.3475795653111776,1.0,0.15583833181248724,1.0,0.03888985013413788,0.0,0.10366702556520735,0.0,0.10599928222748417,0.0,0.6096135665111164,0.0,0.7618508936398574,0.0,0.4665002500916064,0.0,0.5153820414278164,0.0,0.3615629448782155,0.0,0.4722480344513725,1.0,0.005649995334154881,0.0,0.6331570380508479,0.0,0.1873605832057994,0.0,0.5548422793296324,1.0,0.4200915328475435,0.0,0.5773471332011497,0.0,0.7648396281220433,0.0,0.8513846502218383,1.0,0.015418219813012758,0.0,0.26802368138563515,0.0,0.8389840463277098,0.0,0.5279496732700261,1.0,0.003985120506026411,0.0,0.8264970525047616,0.0,0.23096816902672046,0.0,0.5527827000773083,0.0,0.7248071409871069,0.0,0.14647842542763312,1.0,0.001763726283696929,0.0,0.9243709170327619,1.0,0.10749511315855736,0.0,0.8092711323501481,1.0,0.002916012229477205,1.0,0.00036364047526257504,0.0,0.955309678658235,0.0,0.5779010362062063,0.0,0.5657578961309001,0.0,0.34317386896289803,0.0,0.9861976062157787,0.0,0.049635318067555494,0.0,0.36312492534212715
CPI_sqrt,300,16.73786449432373,0.3763896493061085,1.0,0.24229457400025334,0.0,0.5141678076455468,0.0,0.5011581063977318,0.0,0.5007285401908226,0.0,0.5559910742105962,0.0,0.49088857226349436,0.0,0.48638033109542095,0.0,0.5082126906598368,1.0,0.4749290636421343,1.0,0.5331714509879268,1.0,0.3076720615431147,0.0,0.4471241714444719,0.0,0.47633119847415395,0.0,0.4057754007102975,0.0,0.5178956288241797,0.0,0.45672970902291765,0.0,0.4696496025881727,0.0,0.5227430523263139,0.0,0.5566370483871157,1.0,0.4655367200364604,0.0,0.49567945830136084,0.0,0.5001199203482879,0.0,0.5140407966375955,1.0,0.48329502985074224,0.0,0.5033415895263713,0.0,0.5199636292854521,0.0,0.6386979233508178,1.0,0.3203580319779993,0.0,0.5671652182302885,0.0,0.6508756317198306,0.0,0.44466971515515213,1.0,0.14747377514043986,0.0,0.5222566724908964,0.0,0.4032668184888736,0.0,0.4832273859421686,0.0,0.5042699426088328,0.0,0.4500618468782391,1.0,0.3017116789189215,0.0,0.5004666918475094,1.0,0.09723410424430262,0.0,0.47755916954713395,1.0,0.5055521012895853,1.0,0.17763461894623167,0.0,0.5231126431742263,0.0,0.5082688064088375,0.0,0.4949442650444563,0.0,0.5016593157436798,0.0,0.5269268880816936,0.0,0.4335567136896955,0.0,0.5266982579715364
CPI_n,300,16.745105981826782,0.3763896493061085,1.0,0.08322237463530996,0.0,0.6224615145245072,0.0,0.5009620051732576,0.0,0.7616615470551475,0.0,0.7439740750449723,0.0,0.5967546972629528,0.0,0.2290872695215116,0.0,0.6434061484561513,1.0,0.14185358684332455,1.0,0.289887881369709,1.0,0.03467401028979261,0.0,0.4853339966375544,0.0,0.36579769958237796,0.0,0.20449838868966985,0.0,0.5239623823854337,0.0,0.21705084643412415,0.0,0.34561579293759204,0.0,0.6037935772322297,0.0,0.38821795899137035,1.0,0.1451024930730055,0.0,0.5192982033467122,0.0,0.49385184452496833,0.0,0.35481837950732853,1.0,0.3567574125120969,0.0,0.3606820844487015,0.0,0.598887610843352,0.0,0.695989698646931,1.0,0.012376429308638493,0.0,0.6095142153301362,0.0,0.8782192457184168,0.0,0.7323345825673703,1.0,0.10976760593886015,0.0,0.5543724295374133,0.0,0.4319215965309014,0.0,0.587029549619039,0.0,0.6080414119598677,0.0,0.6644689280383576,1.0,0.10718242002532768,0.0,0.3967668616777264,1.0,0.2907357614328224,0.0,0.47861806122035194,1.0,0.19991715788040415,1.0,0.011624896261837622,0.0,0.6239255519484259,0.0,0.49591878676480844,0.0,0.40120309643129215,0.0,0.4499406045208265,0.0,0.8026526835631138,0.0,0.5119299272199723,0.0,0.6642362386436196
CPI_bt,300,16.93885588645935,0.3763896493061085,1.0,8.367878322547773e-07,0.0,0.17206203401427783,0.0,0.5212728553190384,0.0,0.11156290797853052,0.0,0.948398823552556,0.0,0.4595627567176077,0.0,0.2159465379562277,0.0,0.8348634974076672,1.0,0.05083169671980502,1.0,0.0025050864774926324,1.0,2.0571950793236847e-05,0.0,0.10345363756071335,0.0,0.25003956467638666,0.0,0.9776535456960442,0.0,0.7997635010872925,0.0,0.656993364312029,0.0,0.4549660342006227,0.0,0.601249978599642,0.0,0.8102437929048296,1.0,0.13681757426585484,0.0,0.6837601511999287,0.0,0.5304365529044003,0.0,0.5025923669448554,1.0,0.3464727109536553,0.0,0.3960216260026184,0.0,0.4398476409061923,0.0,0.995678988414905,1.0,2.379299174688785e-10,0.0,0.5830717399358564,0.0,0.9506197103172159,0.0,0.33200046524484306,1.0,3.3655984564947764e-08,0.0,0.34914590539465873,0.0,0.1047647528875375,0.0,0.5834064086493598,0.0,0.40461671098801016,0.0,0.033625881587430954,1.0,0.0004538124949902806,0.0,0.5283809249751628,1.0,0.0076590665823635445,0.0,0.8105946080600068,1.0,0.0010498892237608983,1.0,3.6588646319952904e-10,0.0,0.6571708847854298,0.0,0.4092420231582394,0.0,0.4702270266243662,0.0,0.31487896155640444,0.0,0.7890045057175452,0.0,0.08290475629106608,0.0,0.6742457576871965
CPI_sqd,300,16.921228408813477,0.3763896493061085,1.0,4.104039529488377e-138,0.0,1.8772200645964744e-52,0.0,0.0178143124250417,0.0,7.424933665515247e-10,0.0,1.0,0.0,3.5692911485796026e-29,0.0,0.0,0.0,1.6267824492224533e-44,1.0,0.019304208958458684,1.0,1.2827715299264817e-14,1.0,4.9739253948090235e-238,0.0,9.85964423653868e-113,0.0,1.0,0.0,6.27602588692767e-23,0.0,1.2324404894493942e-27,0.0,0.0,0.0,2.176820495198459e-98,0.0,1.0,0.0,1.0,1.0,4.025465238432627e-92,0.0,0.9999996948072343,0.0,7.142110961399193e-190,0.0,1.0,1.0,1.0,0.0,9.524745682573951e-80,0.0,1.0,0.0,0.0005227561916332245,1.0,5.565120204220832e-17,0.0,2.6243973076213257e-32,0.0,1.0,0.0,0.9999999575319826,1.0,5.759229730267182e-105,0.0,1.0,0.0,5.610704674432132e-81,0.0,1.0,0.0,1.0,0.0,5.951591587516455e-06,1.0,0.031539476542681764,0.0,1.0,1.0,1.014075413038383e-05,0.0,1.0,1.0,3.6270714357866345e-15,1.0,7.285155044373095e-30,0.0,1.0,0.0,6.705113048469268e-63,0.0,1.0,0.0,0.00035889501139320043,0.0,1.0,0.0,0.18978978033617927,0.0,0.0016070554634503773
S-CPI,300,29.804707288742065,0.3763896493061085,1.0,0.029743138529464735,0.0,0.22245120593441298,0.0,0.6624691535157341,0.0,0.6106358326568528,0.0,0.9959561341379631,0.0,0.8290189590483424,0.0,0.3289303152686154,0.0,0.9000944092143106,1.0,0.2661447200928677,1.0,0.30021184252166067,1.0,0.0023995484250748335,0.0,0.21936945224970678,0.0,0.09385759662031079,0.0,0.5198194508521236,0.0,0.9667529307248978,0.0,0.28601740540748805,0.0,0.052247153612295365,0.0,0.8661392336511557,0.0,0.9818543827664603,1.0,0.004022638598210373,0.0,0.7160743246199588,0.0,0.13494871641843442,0.0,0.8213588921783137,1.0,0.31463676900884696,0.0,0.35903539771070575,0.0,0.9191569009159392,0.0,0.8247653837952631,1.0,0.5667464137602894,0.0,0.6224047683319072,0.0,0.9939886773245513,0.0,0.617549797564065,1.0,0.025664209809827646,0.0,0.9391946181295818,0.0,0.10343415252289129,0.0,0.7778561877502188,0.0,0.6014514872984621,0.0,0.02777855476851276,1.0,0.19798444434150403,0.0,0.6004165519669453,1.0,0.22620014623740237,0.0,0.49226464250750723,1.0,0.04425758527800562,1.0,0.008399313576916192,0.0,0.9210840799871708,0.0,0.37275842202080534,0.0,0.5984140530353255,0.0,0.1444248490149358,0.0,0.9952612194631747,0.0,0.02651612252772222,0.0,0.724839375055667
S-CPI_sqrt,300,29.820029497146606,0.3763896493061085,1.0,0.3186947373402683,0.0,0.4519564754872665,0.0,0.501066419597324,0.0,0.47157759347497474,0.0,0.5781029109535467,0.0,0.5169650067859086,0.0,0.4912505206389142,0.0,0.5389095327344131,1.0,0.5049635732658733,1.0,0.4788392315544763,1.0,0.17272488201082087,0.0,0.44240345453757873,0.0,0.4470937362236059,0.0,0.5663874141353622,0.0,0.541225617684226,0.0,0.48838602976146933,0.0,0.47565049068583526,0.0,0.5635146084944487,0.0,0.5723218243760754,1.0,0.40199779359258264,0.0,0.5293466032682531,0.0,0.4968544499338886,0.0,0.5271929521232447,1.0,0.4979923672004382,0.0,0.4864418639843544,0.0,0.5384530877972713,0.0,0.6295677461380382,1.0,0.44967056145561635,0.0,0.5172809334594166,0.0,0.7183940247262359,0.0,0.5383869435871994,1.0,0.2693599910453035,0.0,0.5315461301371553,0.0,0.3990417943559424,0.0,0.5239471356835065,0.0,0.5117473526323533,0.0,0.4481979111550521,1.0,0.3852674647867239,0.0,0.540448817472489,1.0,0.3948158736063964,0.0,0.49229620069017993,1.0,0.24052156612804482,1.0,0.15167329470676194,0.0,0.5202322437716876,0.0,0.49904998006427687,0.0,0.515416305093321,0.0,0.46788782918387334,0.0,0.592683717027678,0.0,0.3780284083681175,0.0,0.548916728109451
S-CPI_n,300,29.816856622695923,0.3763896493061085,1.0,0.07550363242011726,0.0,0.3115132640764289,0.0,0.5063164869732307,0.0,0.5247656019545466,0.0,0.8691286269441869,0.0,0.6108202638505595,0.0,0.41207091829812903,0.0,0.7122709209464786,1.0,0.3266276271574799,1.0,0.34815591851647254,1.0,0.021663073703642195,0.0,0.30620141577703325,0.0,0.28486806806235576,0.0,0.5652963769409733,0.0,0.7785773111124838,0.0,0.40141079231332666,0.0,0.31400245866554494,0.0,0.7460988300546629,0.0,0.904984366950514,1.0,0.044191826802074924,0.0,0.6134897124648456,0.0,0.42433536018837603,0.0,0.6889737321366982,1.0,0.3119449942966832,0.0,0.31319115160373745,0.0,0.6926291416485203,0.0,0.880277950630939,1.0,0.37556248224802813,0.0,0.3352121409425788,0.0,0.9317307711143124,0.0,0.6461200053807635,1.0,0.13707401369803146,0.0,0.7380676945449336,0.0,0.1719407557958405,0.0,0.6709748455490276,0.0,0.5930133875388377,0.0,0.24165949248377444,1.0,0.05975419181474173,0.0,0.5582325995973887,1.0,0.3151453263570303,0.0,0.6121527483364566,1.0,0.07570817784758282,1.0,0.01883636426354973,0.0,0.6892934479350861,0.0,0.5132981623796422,0.0,0.5522796411578316,0.0,0.3523675610796949,0.0,0.8682349761189041,0.0,0.1701982418987783,0.0,0.7476855724854191
S-CPI_bt,300,29.99610710144043,0.3763896493061085,1.0,8.888297384881611e-08,0.0,0.5916029950497457,0.0,0.5067930939146273,0.0,0.6587867512406623,0.0,0.9940545044268745,0.0,0.6027896397881852,0.0,0.3889281948374354,0.0,0.8344255099165765,1.0,0.13139859533794201,1.0,0.3125254256661894,1.0,4.168420153089505e-08,0.0,0.15296752716100737,0.0,0.09128583236753779,0.0,0.9708519570963839,0.0,0.9323499262870693,0.0,0.09686475132383027,0.0,0.27510045240403247,0.0,0.8492988402470985,0.0,0.8762246684919908,1.0,0.002203337442702417,0.0,0.8966805244770092,0.0,0.48343975993635446,0.0,0.83987691281565,1.0,0.36702641938388403,0.0,0.33292306531020655,0.0,0.7907053973497178,0.0,0.9956645360596892,1.0,0.048063404469408565,0.0,0.7575030385620339,0.0,0.9999994474959704,0.0,0.9487326391169019,1.0,1.7615345753987333e-09,0.0,0.8017917543825896,0.0,0.0063410262289305625,0.0,0.7388896129306037,0.0,0.7333602617175646,0.0,0.2078414551137942,1.0,9.123485218134834e-05,0.0,0.742909715632748,1.0,0.00021759558465641663,0.0,0.40576320546778116,1.0,9.05127004022362e-07,1.0,1.4682885544641525e-08,0.0,0.7711568076190598,0.0,0.5812202055452845,0.0,0.45300035845453834,0.0,0.350055567814041,0.0,0.9962555793332568,0.0,2.9507349993019156e-05,0.0,0.8387102313102272
